report_number,occur_date,location,ucr_literal,neighborhood,latitude,longitude
90010982,2009-01-01,3202 MARTIN L KING DR,ROBBERY-PEDESTRIAN,None,33.750809999999994,-84.49406
90021005,2009-01-02,2961 TRIBBLE LN NW,BURGLARY-RESIDENCE,Stratford,33.759409999999995,-84.48366
90020717,2008-09-09,3160 HOWELL MILL RD,LARCENY-NON VEHICLE,None,33.84055,-84.42855
90021631,2009-01-02,1717 CENTRA VILLA DR SW,LARCENY-FROM VEHICLE,Brookwood Hills,33.80983,-84.39306999999998
90021019,2009-01-01,3393 PEACHTREE PARK DR NE,LARCENY-FROM VEHICLE,Brookwood Hills,33.8138,-84.38956999999998
90031374,2009-01-03,2567 BOLTON RD NW,LARCENY-NON VEHICLE,None,33.820409999999995,-84.45068
90030691,2009-01-03,659 LYNN VALLEY RD SW,LARCENY-FROM VEHICLE,None,33.73754,-84.48495
90030855,2009-01-02,1193 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.81172,-84.42449999999998
90030548,2009-01-02,1968 PEACHTREE RD NW,LARCENY-NON VEHICLE,Brookwood Hills,33.80901,-84.39341999999998
90030532,2009-01-03,605 LYNN VALLEY RD SW,AUTO THEFT,None,33.73905,-84.48385
90040906,2008-12-31,40 PEACHTREE VALLEY RD NE,BURGLARY-RESIDENCE,Brookwood Hills,33.810959999999994,-84.39145
90040577,2009-01-04,2788 DEFOORS FERRY RD NW,AUTO THEFT,Westover Plantation,33.82114,-84.44713
90040076,2009-01-04,2285 PEACHTREE RD NE,LARCENY-FROM VEHICLE,None,33.81637,-84.38953999999998
90051169,2009-01-05,68 LINKWOOD RD NW,LARCENY-NON VEHICLE,Stratford,33.75703,-84.48298
90051423,2009-01-03,2313 SANDCOVE CT SW,LARCENY-NON VEHICLE,None,33.69992,-84.54175999999998
90051695,2009-01-05,2325 MARIETTA BLVD NW,AUTO THEFT,None,33.82087,-84.45355
90050263,2009-01-05,3086 MIDDLETON RD NW,ROBBERY-PEDESTRIAN,Stratford,33.7526,-84.48985999999998
90051546,2009-01-05,3201 WESTPORT WAY SW,BURGLARY-RESIDENCE,None,33.74434,-84.49107999999998
90050692,2008-12-29,1660 STANTON RD SW,BURGLARY-NONRES,None,33.70953,-84.44239
90050720,2008-01-02,2032 SANDLAKE DR SW,BURGLARY-RESIDENCE,None,33.699529999999996,-84.54159
90060751,2009-01-03,2251 MARIETTA BLVD,BURGLARY-NONRES,None,33.81831,-84.44880999999998
90061799,2009-01-06,4214 PEACHTREE PARK DR NE,BURGLARY-RESIDENCE,Brookwood Hills,33.81368,-84.38975
90041152,2009-01-02,3680 N CAMP CREEK PKWY SW,LARCENY-NON VEHICLE,None,33.67022,-84.5047
90060325,2009-01-05,1185 COLLIER RD NW,LARCENY-FROM VEHICLE,Ellsworth Park,33.81136,-84.42537
90062079,2009-01-06,3540 N CAMP CREEK PKWY SW,LARCENY-FROM VEHICLE,None,33.67051,-84.50298999999998
90070757,2009-01-06,3006 DELMAR LN NW,LARCENY-FROM VEHICLE,Stratford,33.75524,-84.48542999999998
90071792,2009-01-07,3201 MARTIN L KING JR DR NW,LARCENY-NON VEHICLE,None,33.75428,-84.49165
90061484,2009-01-04,3379 STONE RD,AUTO THEFT,None,33.67304,-84.50104
90072044,2009-01-07,166 STRATFORD DR NW,AGG ASSAULT,None,33.75667,-84.48797999999998
90081149,2009-01-08,2801 PEYTON CROSSING,BURGLARY-RESIDENCE,None,33.736540000000005,-84.47705
90081091,2009-01-08,3200 CUSHMAN CIR SW,BURGLARY-RESIDENCE,None,33.749,-84.4927
90081143,2009-01-08,3208 MLK JR DR,AGG ASSAULT,None,33.75352,-84.49535999999998
